city,garage_id,name,addr,maps_search_url,url,height,notes,status
albuquerque-nm,abq-civic-plaza,Civic Plaza Parking Garage,1 Civic Plaza NW,https://www.google.com/maps/search/?api=1&query=Civic+Plaza+Parking+Garage+1+Civic+Plaza+NW+Albuquerque+NM,,,,unverified
albuquerque-nm,abq-old-town-plaza,Old Town Plaza Garage,303 Romero St NW,https://www.google.com/maps/search/?api=1&query=Old+Town+Plaza+Garage+303+Romero+St+NW+Albuquerque+NM,,,,unverified
albuquerque-nm,abq-rio-grande-bridge,Rio Grande Boulevard Bridge,Central Ave over Rio Grande,https://www.google.com/maps/search/?api=1&query=Rio+Grande+Boulevard+Bridge+Central+Ave+over+Rio+Grande+Albuquerque+NM,,,,unverified
albuquerque-nm,abq-sawmill-market,Sawmill Market,1909 Bellamah Ave NW,https://www.google.com/maps/search/?api=1&query=Sawmill+Market+1909+Bellamah+Ave+NW+Albuquerque+NM,,,,unverified
albuquerque-nm,abq-unm-south,UNM — South Garage,1900 Las Lomas NE,https://www.google.com/maps/search/?api=1&query=UNM+%E2%80%94+South+Garage+1900+Las+Lomas+NE+Albuquerque+NM,,,,unverified
anaheim-ca,ana-packing-district,Anaheim Packing District,440 S Anaheim Blvd,https://www.google.com/maps/search/?api=1&query=Anaheim+Packing+District+440+S+Anaheim+Blvd+Anaheim+CA,,,,unverified
anaheim-ca,ana-pixar-pals,Disneyland — Pixar Pals Structure,1313 S Disneyland Dr,https://www.google.com/maps/search/?api=1&query=Disneyland+%E2%80%94+Pixar+Pals+Structure+1313+S+Disneyland+Dr+Anaheim+CA,,,,unverified
anaheim-ca,ana-grand-californian,Grand Californian Hotel Garage,1600 S Disneyland Dr,https://www.google.com/maps/search/?api=1&query=Grand+Californian+Hotel+Garage+1600+S+Disneyland+Dr+Anaheim+CA,,,,unverified
anaheim-ca,ana-main-place-santa,MainPlace Mall (Santa Ana),"2800 N Main St, Santa Ana",https://www.google.com/maps/search/?api=1&query=MainPlace+Mall+%28Santa+Ana%29+2800+N+Main+St%2C+Santa+Ana+Anaheim+CA,,,,unverified
anaheim-ca,ana-arm-convention-way,Wells Fargo Parking Structure,1300 S Clementine St,https://www.google.com/maps/search/?api=1&query=Wells+Fargo+Parking+Structure+1300+S+Clementine+St+Anaheim+CA,,,,unverified
anchorage-ak,anc-anchorage-museum,Anchorage Museum Lot,625 C St,https://www.google.com/maps/search/?api=1&query=Anchorage+Museum+Lot+625+C+St+Anchorage+AK,,,,unverified
anchorage-ak,anc-anton-tunnel,Anton Anderson Memorial Tunnel (Whittier),Portage Glacier Hwy to Whittier,https://www.google.com/maps/search/?api=1&query=Anton+Anderson+Memorial+Tunnel+%28Whittier%29+Portage+Glacier+Hwy+to+Whittier+Anchorage+AK,,,,unverified
anchorage-ak,anc-dimond-mall,Dimond Center,800 E Dimond Blvd,https://www.google.com/maps/search/?api=1&query=Dimond+Center+800+E+Dimond+Blvd+Anchorage+AK,,,,unverified
anchorage-ak,anc-earthquake-park,Earthquake Park / Coastal Trail,Anchorage Coastal Trail,https://www.google.com/maps/search/?api=1&query=Earthquake+Park+%2F+Coastal+Trail+Anchorage+Coastal+Trail+Anchorage+AK,,,,unverified
anchorage-ak,anc-knik-river-bridge,Knik River Bridge (Glenn Hwy),Glenn Hwy over Knik River,https://www.google.com/maps/search/?api=1&query=Knik+River+Bridge+%28Glenn+Hwy%29+Glenn+Hwy+over+Knik+River+Anchorage+AK,,,,unverified
anchorage-ak,anc-airport-long,Ted Stevens (ANC) — Long Term Lot,4600 Postmark Dr,https://www.google.com/maps/search/?api=1&query=Ted+Stevens+%28ANC%29+%E2%80%94+Long+Term+Lot+4600+Postmark+Dr+Anchorage+AK,,,,unverified
annapolis-md,osm-w259004560,Calvert Street Parking Garage,19 Saint Johns Street,https://www.google.com/maps/search/?api=1&query=Calvert+Street+Parking+Garage+19+Saint+Johns+Street+Annapolis+MD,,,,unverified
annapolis-md,osm-w273397495,Knighton Parking Garage,1 Colonial Avenue,https://www.google.com/maps/search/?api=1&query=Knighton+Parking+Garage+1+Colonial+Avenue+Annapolis+MD,,,,unverified
annapolis-md,osm-w220369843,Marriot Hotel Valet Parking,80 Compromise Street,https://www.google.com/maps/search/?api=1&query=Marriot+Hotel+Valet+Parking+80+Compromise+Street+Annapolis+MD,,,,unverified
